Rank,Name,Country/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Number of graduates,Mean rank,Median rank
401,University of Kansas,United States,38.8–42.3,36.9,22.6,68.3,43.5,35.4,4,643195,572955
401,University of Kentucky,United States,38.8–42.3,37.0,24.9,55.5,38.4,38.0,1,683931,683931
401,Mansoura University,Egypt,38.8–42.3,19.1,9.2,88.1,39.6,44.3,2,378706,378706
401,Middlesex University,United Kingdom,38.8–42.3,19.4,17.3,74.2,34.6,88.3,8,476712,317155
401,Norwegian University of Science and Technology,Norway,38.8–42.3,26.2,28.3,64.3,38.5,62.2,1,35954,35954
401,Oklahoma State University,United States,38.8–42.3,24.1,21.5,71.1,36.9,44.3,2,798554,798554
401,University of Pavia,Italy,38.8–42.3,24.6,25.7,65.5,55.5,47.0,1,13020,13020
401,University of Peradeniya,Sri Lanka,38.8–42.3,16.5,7.6,100.0,35.4,43.3,6,664486,440579
401,University of the Philippines,Philippines,38.8–42.3,24.1,17.2,86.9,39.4,37.9,41,509509,401551
401,University of Porto,Portugal,38.8–42.3,27.4,27.9,62.1,38.7,53.9,6,276822,107132
401,University of Portsmouth,United Kingdom,38.8–42.3,17.8,16.2,71.0,34.9,87.7,1,1052075,1052075
401,Qatar University,Qatar,38.8–42.3,19.6,27.2,64.7,49.3,99.6,1,102896,102896
401,Rensselaer Polytechnic Institute,United States,38.8–42.3,30.0,28.7,58.9,67.0,52.1,2,739447,739447
401,University of Saskatchewan,Canada,38.8–42.3,35.9,26.9,48.1,59.2,72.6,2,1021935,1021935
401,Sciences Po,France,38.8–42.3,29.8,27.0,56.8,38.2,76.0,45,238614,47284
401,Sejong University,South Korea,38.8–42.3,23.4,20.8,75.4,40.0,42.6,1,87874,87874
401,University of Siena,Italy,38.8–42.3,37.9,21.6,67.6,37.5,43.1,2,464893,464893
401,University of Strasbourg,France,38.8–42.3,28.7,21.1,62.3,37.7,71.9,7,127496,45124
401,University of Strathclyde,United Kingdom,38.8–42.3,28.3,31.6,51.9,43.6,86.2,2,1349017,1349017
401,University of Trieste,Italy,38.8–42.3,30.1,22.7,66.9,37.7,47.8,2,1556897,1556897
401,University of Tsukuba,Japan,38.8–42.3,43.3,37.2,34.4,44.6,44.3,4,417197,256668
401,University of Tulsa,United States,38.8–42.3,33.5,16.2,68.9,50.5,39.6,2,170107,170107
401,University of Turin,Italy,38.8–42.3,22.6,27.3,75.3,45.4,44.3,2,30323,30323
401,University of Valencia,Spain,38.8–42.3,24.6,20.8,70.8,37.0,47.0,3,599320,842400
401,University of Victoria,Canada,38.8–42.3,23.6,15.9,70.1,44.9,87.2,3,151113,215766
401,York University,Canada,38.8–42.3,28.2,37.6,50.7,45.4,75.0,47,425104,171446
501,Amirkabir University of Technology,Iran,35.3–38.7,34.2,31.8,43.2,76.5,21.9,1,622009,622009
501,Aston University,United Kingdom,35.3–38.7,21.0,24.2,55.1,37.1,92.4,3,933769,1099190
501,Bar-Ilan University,Israel,35.3–38.7,29.9,36.5,44.2,46.6,52.9,7,80761,84025
501,University of Campinas,Brazil,35.3–38.7,44.6,38.0,34.8,44.8,30.6,1,2017,2017
501,Carleton University,Canada,35.3–38.7,20.2,27.2,57.1,36.1,69.0,10,670159,353545
501,Chung-Ang University,South Korea,35.3–38.7,37.9,37.0,25.2,64.6,49.7,10,235407,231423
501,Claude Bernard University Lyon 1,France,35.3–38.7,26.0,24.0,58.0,38.6,56.7,2,894463,894463
501,Complutense University of Madrid,Spain,35.3–38.7,35.4,28.9,47.2,36.1,44.0,33,188354,27985
501,East China Normal University,China,35.3–38.7,30.5,23.5,50.5,50.6,58.4,2,158351,158351
501,Florida International University,United States,35.3–38.7,30.4,22.6,62.3,38.0,39.7,1,2483,2483
501,University of Graz,Austria,35.3–38.7,22.9,18.3,56.1,35.8,76.0,10,255304,103231
501,University of Greifswald,Germany,35.3–38.7,30.0,22.4,60.2,39.1,47.0,1,16217,16217
501,University of Guelph,Canada,35.3–38.7,26.2,29.4,47.4,48.6,57.7,1,854025,854025
501,Hacettepe University,Turkey,35.3–38.7,28.4,13.1,70.5,37.5,25.0,3,100562,95229
501,University of Haifa,Israel,35.3–38.7,26.7,31.9,52.8,36.3,35.9,7,110086,95715
501,University of Hull,United Kingdom,35.3–38.7,22.3,23.0,56.1,36.3,76.5,5,904955,780850
501,University of Ibadan,Nigeria,35.3–38.7,23.4,12.1,77.6,41.4,37.1,16,374135,378425
501,King Fahd University of Petroleum and Minerals,Saudi Arabia,35.3–38.7,27.2,15.9,51.7,64.4,78.7,5,652249,664232
501,King Saud University,Saudi Arabia,35.3–38.7,24.6,25.8,49.6,83.4,80.3,13,668569,533214
501,University of Limerick,Ireland,35.3–38.7,20.1,23.5,54.6,39.2,83.7,1,66453,66453
501,Lincoln University,New Zealand,35.3–38.7,24.4,19.9,47.9,51.5,94.2,4,844438,784498
501,University of Lisbon,Portugal,35.3–38.7,25.2,29.8,52.7,39.2,53.8,53,419949,101060
501,Louisiana State University,United States,35.3–38.7,34.5,26.3,55.3,35.4,35.5,8,414573,266953
501,Massey University,New Zealand,35.3–38.7,22.9,18.9,49.1,41.5,92.8,5,432207,245616
501,Memorial University of Newfoundland,Canada,35.3–38.7,20.5,19.9,57.7,61.0,74.1,1,21633,21633
501,National and Kapodistrian University of Athens,Greece,35.3–38.7,21.8,15.0,72.9,55.4,52.0,31,419337,132089
501,National Chiao Tung University,Taiwan,35.3–38.7,35.8,43.3,25.6,87.0,35.9,2,269865,269865
501,University of Neuchâtel,Switzerland,35.3–38.7,23.7,29.3,48.3,37.2,90.4,2,74719,74719
501,North-West University,South Africa,35.3–38.7,20.1,17.1,69.9,41.1,43.3,1,1774592,1774592
501,Norwegian University of Life Sciences,Norway,35.3–38.7,26.5,10.5,66.2,39.9,78.4,1,977980,977980
501,Novosibirsk State University,Russian Federation,35.3–38.7,42.8,31.9,30.3,35.7,43.8,4,132239,98980
501,The Open University,United Kingdom,35.3–38.7,18.2,16.1,66.5,34.8,57.0,6,970332,1172082
501,Pontifical Catholic University of Chile,Chile,35.3–38.7,24.2,28.3,48.6,64.5,57.1,21,142540,118438
501,Renmin University of China,China,35.3–38.7,42.5,21.2,47.4,43.9,42.5,5,134890,126207
501,San Diego State University,United States,35.3–38.7,23.7,24.4,62.0,35.1,33.9,1,607938,607938
501,Sharif University of Technology,Iran,35.3–38.7,28.9,36.7,41.0,99.8,23.7,2,248576,248576
501,University of Siegen,Germany,35.3–38.7,21.3,25.3,57.1,40.2,54.4,1,68514,68514
501,Soochow University,China,35.3–38.7,23.4,20.8,68.2,37.5,28.3,5,296417,287790
501,Tomsk State University,Russian Federation,35.3–38.7,41.0,33.7,23.4,53.0,71.6,1,2144054,2144054
501,Victoria University of Wellington,New Zealand,35.3–38.7,23.0,31.8,45.5,57.2,88.7,26,395836,292302
501,University of Waikato,New Zealand,35.3–38.7,20.8,26.3,48.8,43.4,86.2,4,216328,220066
501,Xiamen University,China,35.3–38.7,27.3,22.9,57.1,53.3,31.5,1,139391,139391
501,Yokohama City University,Japan,35.3–38.7,25.9,8.5,86.2,40.3,20.3,1,12108,12108
601,Åbo Akademi University,Finland,28.3–35.2,22.6,29.2,33.1,38.5,66.9,1,91306,91306
601,Aristotle University of Thessaloniki,Greece,28.3–35.2,19.2,16.8,64.3,41.3,41.2,11,501986,403627
601,University of Arkansas,United States,28.3–35.2,26.9,23.0,37.0,39.4,30.9,2,763570,763570
601,Auburn University,United States,28.3–35.2,32.7,21.1,43.3,40.2,43.8,1,463512,463512
601,Banaras Hindu University,India,28.3–35.2,30.8,16.4,46.7,34.6,17.7,1,951643,951643
601,University of the Basque Country,Spain,28.3–35.2,22.0,17.1,47.3,37.1,41.5,2,24304,24304
601,Boğaziçi University,Turkey,28.3–35.2,23.2,21.2,49.4,50.8,41.8,5,69140,44392
601,University of Brighton,United Kingdom,28.3–35.2,17.1,14.2,43.4,35.1,75.6,1,74842,74842
601,Cairo University,Egypt,28.3–35.2,21.8,13.7,51.5,35.4,35.3,2,154289,154289
601,University of Central Florida,United States,28.3–35.2,26.5,28.7,49.7,42.6,32.9,1,486694,486694
601,Clemson University,United States,28.3–35.2,25.0,21.2,43.0,40.1,39.2,3,493287,584901
601,University of Coimbra,Portugal,28.3–35.2,23.7,28.1,47.4,41.0,58.7,7,226854,87759
601,Concordia University,Canada,28.3–35.2,20.9,25.9,46.0,36.9,82.5,4,1101148,900071
601,University of Costa Rica,Costa Rica,28.3–35.2,16.2,7.9,77.1,34.4,48.2,32,519205,502089
601,University of Delhi,India,28.3–35.2,37.6,17.8,42.8,34.5,17.3,41,386961,59469
601,Eötvös Loránd University,Hungary,28.3–35.2,21.4,17.7,48.2,35.1,52.6,15,77846,60564
601,Ewha Womans University,South Korea,28.3–35.2,29.9,30.8,31.4,69.9,46.7,4,235479,264608
601,Federal University of Minas Gerais,Brazil,28.3–35.2,30.2,17.9,52.0,38.8,29.6,1,34554,34554
601,Federal University of Rio Grande do Sul,Brazil,28.3–35.2,29.6,18.3,49.3,46.5,26.3,1,2017,2017
601,Glasgow Caledonian University,United Kingdom,28.3–35.2,15.7,12.2,56.2,35.2,61.1,3,292005,7375
601,University of Granada,Spain,28.3–35.2,19.4,20.9,52.0,35.6,48.1,1,10481,10481
601,University of Greenwich,United Kingdom,28.3–35.2,17.1,15.2,39.5,35.4,89.4,2,696317,696317
601,Indian Institute of Technology Kanpur,India,28.3–35.2,37.8,24.5,35.2,94.3,18.8,1,66119,66119
601,Indian Institute of Technology Madras,India,28.3–35.2,44.9,30.6,25.4,80.0,19.3,1,185863,185863
601,University of Indonesia,Indonesia,28.3–35.2,38.7,19.2,16.7,81.6,53.7,27,365628,391813
601,University of International Business and Economics,China,28.3–35.2,25.3,16.1,35.2,35.7,61.5,1,246620,246620
601,Iran University of Science and Technology,Iran,28.3–35.2,27.8,33.0,42.6,96.3,16.8,2,42537,42537
601,Istanbul Technical University,Turkey,28.3–35.2,25.2,28.0,30.2,100.0,26.8,5,364487,92049
601,Jagiellonian University,Poland,28.3–35.2,25.5,17.0,61.4,35.3,37.7,4,113648,16241
601,Jawaharlal Nehru University,India,28.3–35.2,43.9,17.3,26.6,43.0,19.3,4,168339,169651
601,University of Johannesburg,South Africa,28.3–35.2,19.7,25.8,42.5,40.4,69.2,1,1774592,1774592
601,Kansas State University,United States,28.3–35.2,25.0,20.4,45.8,41.9,47.2,5,307353,433726
601,Kazan Federal University,Russian Federation,28.3–35.2,28.7,16.9,47.8,40.0,42.6,1,638613,638613
601,Keio University,Japan,28.3–35.2,32.1,25.7,36.8,42.7,31.5,11,72963,27329
601,Konkuk University,South Korea,28.3–35.2,33.0,37.9,27.5,44.3,47.7,1,214240,214240
601,Lehigh University,United States,28.3–35.2,27.4,20.8,51.0,40.3,45.1,1,393993,393993
601,University of Ljubljana,Slovenia,28.3–35.2,21.1,18.7,44.8,39.7,42.3,88,568286,348510
601,University of Lorraine,France,28.3–35.2,21.8,13.5,61.3,37.3,61.6,1,4871,4871
601,Mahidol University,Thailand,28.3–35.2,31.6,21.0,45.2,73.4,46.1,2,308696,308696
601,Makerere University,Uganda,28.3–35.2,16.7,12.7,69.6,40.9,58.7,72,1016157,995856
601,University of Malta,Malta,28.3–35.2,16.9,13.7,48.1,34.7,57.9,23,419118,366624
601,Manchester Metropolitan University,United Kingdom,28.3–35.2,20.1,14.2,55.4,34.8,65.3,1,1093247,1093247
601,"University of Maryland, Baltimore County",United States,28.3–35.2,22.9,17.4,57.8,35.7,34.3,1,2089661,2089661
601,Masaryk University,Czech Republic,28.3–35.2,22.6,25.4,36.3,35.6,61.5,5,165823,130502
601,Metropolitan Autonomous University,Mexico,28.3–35.2,16.6,16.3,68.6,36.4,25.1,2,118195,118195
601,Middle East Technical University,Turkey,28.3–35.2,28.7,23.2,30.7,62.1,30.4,11,738797,178280
601,Montana State University,United States,28.3–35.2,18.6,19.4,67.0,48.4,28.4,2,295366,295366
601,Monterrey Institute of Technology,Mexico,28.3–35.2,20.5,18.2,41.8,74.7,57.3,1,44326,44326
601,University of Nantes,France,28.3–35.2,19.8,21.0,57.4,39.5,50.4,2,653449,653449
601,National Autonomous University of Mexico,Mexico,28.3–35.2,31.9,30.4,18.9,61.7,44.2,22,218259,59631
601,National Taiwan Normal University,Taiwan,28.3–35.2,32.0,37.3,22.8,78.4,51.4,9,408404,463467
601,National Technical University of Athens,Greece,28.3–35.2,23.0,12.8,45.0,71.5,38.6,6,131880,141346
601,Nippon Medical School,Japan,28.3–35.2,25.7,8.8,55.1,34.8,16.9,1,185655,185655
601,Nottingham Trent University,United Kingdom,28.3–35.2,17.7,12.9,59.5,34.9,69.0,1,1310832,1310832
601,University of Palermo,Italy,28.3–35.2,21.1,17.9,63.0,35.0,27.3,2,176871,176871
601,Panjab University,India,28.3–35.2,27.0,14.4,56.6,34.9,16.5,3,20446,18792
601,University of Parma,Italy,28.3–35.2,18.1,18.9,65.7,39.4,38.1,1,882537,882537
601,University of Pretoria,South Africa,28.3–35.2,25.1,30.1,33.0,41.8,52.0,6,578938,148754
601,Université du Québec,Canada,28.3–35.2,24.9,23.6,39.1,42.1,67.2,3,487005,381258
601,University of Rennes 1,France,28.3–35.2,21.0,15.5,50.9,36.9,55.9,1,512526,512526
601,Ryerson University,Canada,28.3–35.2,19.4,26.0,38.6,36.2,52.4,1,21597,21597
601,Saint Petersburg State University,Russian Federation,28.3–35.2,46.1,31.0,19.7,36.4,39.3,28,429216,213408
601,University of Salamanca,Spain,28.3–35.2,26.4,17.5,37.9,37.0,51.4,8,231792,169942
601,University of Santiago de Compostela,Spain,28.3–35.2,21.8,16.6,46.9,40.3,44.7,3,885644,1290335
601,Savitribai Phule Pune University,India,28.3–35.2,38.9,18.5,46.6,36.1,17.5,3,364836,133564
601,Shandong University,China,28.3–35.2,32.3,29.1,35.4,72.3,30.6,2,158701,158701
601,Université de Sherbrooke,Canada,28.3–35.2,29.6,14.5,51.0,38.1,58.5,2,294214,294214
601,Sidi Mohamed Ben Abdellah University,Morocco,28.3–35.2,25.2,7.6,53.2,34.4,23.6,1,683057,683057
601,University of Tehran,Iran,28.3–35.2,36.7,23.5,38.7,34.4,23.3,35,166738,131340
601,University of Texas at Arlington,United States,28.3–35.2,21.0,18.3,50.0,39.7,46.0,3,559308,693192
601,Texas Tech University,United States,28.3–35.2,30.8,20.9,46.5,36.2,48.4,1,1820468,1820468
601,Ulster University,United Kingdom,28.3–35.2,21.0,18.0,40.9,35.6,75.7,1,1725411,1725411
601,University of Warsaw,Poland,28.3–35.2,25.8,21.5,41.4,35.1,45.6,17,148813,36575
601,Waseda University,Japan,28.3–35.2,31.3,22.8,28.2,38.1,38.0,17,116537,72732
601,University of the West of England,United Kingdom,28.3–35.2,17.1,15.2,48.4,34.9,64.3,2,895349,895349
601,University of the Western Cape,South Africa,28.3–35.2,18.3,20.0,60.3,34.4,62.1,5,862498,498144
601,University of Westminster,United Kingdom,28.3–35.2,18.2,16.2,36.7,34.8,86.7,5,571660,412489
601,University of Windsor,Canada,28.3–35.2,33.7,26.6,33.5,36.8,79.9,2,531811,531811
801,University of the Aegean,Greece,22.2–28.2,18.1,17.8,44.3,37.0,37.5,1,340425,340425
801,Ain Shams University,Egypt,22.2–28.2,21.0,10.1,31.5,35.6,36.0,19,672116,470509
801,Aligarh Muslim University,India,22.2–28.2,29.0,10.4,41.1,34.5,23.6,3,21310,19953
801,American University in Cairo,Egypt,22.2–28.2,27.0,25.1,20.2,35.5,64.1,7,464259,491322
801,University of Baghdad,Iraq,22.2–28.2,19.5,7.9,43.5,35.2,31.1,25,585627,512183
801,Bauman Moscow State Technical University,Russian Federation,22.2–28.2,34.0,17.4,16.8,61.8,26.3,4,496679,82647
801,University of Bradford,United Kingdom,22.2–28.2,19.3,16.4,33.0,36.9,81.2,10,626963,273565
801,University of Brasília,Brazil,22.2–28.2,25.8,14.4,36.8,34.5,30.9,2,15024,15024
801,Carlos III University of Madrid,Spain,22.2–28.2,24.4,16.3,34.9,38.2,60.2,1,233521,233521
801,Chiba University,Japan,22.2–28.2,28.7,19.1,32.8,51.4,25.9,1,15722,15722
801,University of Chile,Chile,22.2–28.2,23.2,17.1,33.9,34.5,51.2,52,152521,119244
801,Chonnam National University,South Korea,22.2–28.2,21.3,20.2,29.6,38.9,27.5,1,190610,190610
801,Chulalongkorn University,Thailand,22.2–28.2,31.5,21.7,22.2,64.8,37.8,12,340407,370650
801,University of Córdoba,Spain,22.2–28.2,21.2,16.6,36.4,37.1,41.9,1,29440,29440
801,Czech Technical University in Prague,Czech Republic,22.2–28.2,20.8,17.4,23.4,44.6,53.7,1,611941,611941
801,University of Deusto,Spain,22.2–28.2,21.5,17.6,39.6,38.1,45.7,1,23932,23932
801,University of East London,United Kingdom,22.2–28.2,20.4,14.5,32.8,34.4,78.6,3,1086142,1073749
801,Federal University of Rio de Janeiro,Brazil,22.2–28.2,34.4,22.0,26.1,35.5,28.7,3,165343,25151
801,Federico Santa María Technical University,Chile,22.2–28.2,13.6,9.8,40.2,44.9,54.5,1,42970,42970
801,Ferdowsi University of Mashhad,Iran,22.2–28.2,25.9,18.5,23.1,41.8,21.2,2,411631,411631
801,Florida Atlantic University,United States,22.2–28.2,21.0,19.1,37.5,37.9,44.6,1,153344,153344
801,Fu Jen Catholic University,Taiwan,22.2–28.2,18.7,19.9,31.3,53.5,30.4,6,183451,171113
801,University of Ghana,Ghana,22.2–28.2,15.6,15.5,28.1,48.0,49.5,40,759454,758661
801,Inha University,South Korea,22.2–28.2,23.8,20.7,23.8,64.0,32.1,1,155519,155519
801,University of Isfahan,Iran,22.2–28.2,30.9,22.6,13.4,45.5,17.5,2,333605,333605
801,Istanbul University,Turkey,22.2–28.2,25.8,24.4,23.6,49.8,27.1,16,563363,98301
801,Jadavpur University,India,22.2–28.2,33.8,22.3,28.5,40.8,15.4,1,194001,194001
801,Jilin University,China,22.2–28.2,27.3,16.2,27.4,43.3,20.4,4,91458,77709
801,Jinan University,China,22.2–28.2,21.6,14.9,38.5,40.4,54.6,1,573409,573409
801,University of Jordan,Jordan,22.2–28.2,25.1,10.2,29.1,39.3,67.2,14,598755,335388
801,Kaohsiung Medical University,Taiwan,22.2–28.2,22.5,23.3,25.9,54.8,26.0,1,315352,315352
801,Kingston University,United Kingdom,22.2–28.2,17.6,15.6,33.3,34.7,84.2,4,926591,997195
801,Kuwait University,Kuwait,22.2–28.2,19.1,9.9,31.7,37.4,69.9,15,900124,894118
801,Kyungpook National University,South Korea,22.2–28.2,24.5,28.0,25.0,43.4,29.3,2,188547,188547
801,University of Lagos,Nigeria,22.2–28.2,15.5,9.0,58.7,34.5,27.4,10,474782,491628
801,University of Latvia,Latvia,22.2–28.2,17.0,19.3,24.4,41.6,48.9,56,573934,374293
801,Leeds Beckett University,United Kingdom,22.2–28.2,16.6,13.9,39.5,35.0,49.8,1,274884,274884
801,University of Maribor,Slovenia,22.2–28.2,17.0,15.8,31.0,40.0,37.9,4,199096,166204
801,Marquette University,United States,22.2–28.2,36.0,14.4,34.3,36.3,24.6,2,1101890,1101890
801,Mississippi State University,United States,22.2–28.2,21.8,15.8,43.6,40.3,25.9,1,95823,95823
801,University of Murcia,Spain,22.2–28.2,22.3,13.8,32.6,35.9,38.5,1,2141,2141
801,University of Nairobi,Kenya,22.2–28.2,14.6,10.2,48.3,34.8,47.0,30,740862,656935
801,National Chengchi University,Taiwan,22.2–28.2,23.4,29.3,13.2,42.0,46.4,23,344207,294698
801,National Taipei University of Technology,Taiwan,22.2–28.2,21.8,20.2,22.4,86.7,28.8,1,589717,589717
801,The New School,United States,22.2–28.2,23.9,15.2,30.2,38.4,50.3,13,365986,121468
801,Northeast Normal University,China,22.2–28.2,24.3,10.3,48.6,37.1,18.3,1,208565,208565
801,Northwest University,China,22.2–28.2,19.3,12.7,37.5,40.6,21.5,2,63184,63184
801,Osmania University,India,22.2–28.2,36.0,10.2,31.5,39.6,15.4,1,164136,164136
801,University of Pécs,Hungary,22.2–28.2,19.6,16.1,40.9,37.5,55.9,1,37832,37832
801,Polytechnic University of Valencia,Spain,22.2–28.2,22.1,11.8,41.3,44.8,50.0,2,422116,422116
801,Pontifical Catholic University of Peru,Peru,22.2–28.2,19.9,8.6,33.8,35.9,47.4,21,202763,208882
801,University of Puerto Rico,Puerto Rico,22.2–28.2,18.1,8.5,43.7,34.9,43.7,3,946776,893571
801,University of the Punjab,Pakistan,22.2–28.2,19.5,10.4,34.1,35.2,32.5,32,434345,396120
801,Rikkyo University,Japan,22.2–28.2,16.6,8.9,47.5,34.8,42.7,5,41002,35392
801,Rochester Institute of Technology,United States,22.2–28.2,20.0,18.1,39.0,35.9,41.6,2,135348,135348
801,University of Salford,United Kingdom,22.2–28.2,18.7,14.8,38.7,34.8,70.1,3,637068,437785
801,University of Seoul,South Korea,22.2–28.2,22.6,18.2,24.7,40.9,29.2,1,27137,27137
801,University of Seville,Spain,22.2–28.2,25.4,18.7,36.5,36.6,38.2,2,8284,8284
801,Shahid Beheshti University,Iran,22.2–28.2,22.1,19.0,38.0,66.9,19.6,5,341900,138418
801,Shanghai University,China,22.2–28.2,21.2,24.8,29.6,60.0,31.0,2,149571,149571
801,Shiraz University,Iran,22.2–28.2,24.8,25.0,27.2,57.0,18.1,1,180797,180797
801,Sogang University,South Korea,22.2–28.2,24.4,28.2,23.6,47.7,34.9,6,158086,176139
801,Staffordshire University,United Kingdom,22.2–28.2,16.8,9.8,42.8,34.6,52.2,2,223832,223832
801,University of Szeged,Hungary,22.2–28.2,21.8,12.4,36.6,36.5,54.4,2,58942,58942
801,Tallinn University,Estonia,22.2–28.2,16.9,20.1,29.5,38.2,63.0,15,425591,347756
801,Tallinn University of Technology,Estonia,22.2–28.2,17.6,13.2,27.8,47.3,60.2,10,497407,303998
801,Technical University of Madrid,Spain,22.2–28.2,22.6,14.9,37.7,42.4,49.1,4,318906,21291
801,University of Texas at El Paso,United States,22.2–28.2,21.0,22.9,36.3,34.4,40.7,5,422004,268872
801,Tokyo University of Agriculture and Technology,Japan,22.2–28.2,23.9,23.2,18.0,45.9,25.7,1,275826,275826
801,"Vietnam National University, Hanoi",Vietnam,22.2–28.2,21.9,9.1,38.8,36.5,47.4,1,93395,93395
801,Vilnius University,Lithuania,22.2–28.2,19.9,14.3,37.1,46.6,55.6,33,268483,241484
801,University of Wolverhampton,United Kingdom,22.2–28.2,15.8,13.3,35.0,34.5,65.3,2,428826,428826
801,Xidian University,China,22.2–28.2,21.0,17.2,32.9,75.2,19.4,1,196121,196121
801,Yeungnam University,South Korea,22.2–28.2,18.4,12.8,45.5,40.0,36.4,1,177832,177832
801,University of Zaragoza,Spain,22.2–28.2,22.0,13.4,43.8,38.6,39.4,2,1048609,1048609
1001,Al-Azhar University,Egypt,10.7–22.1,15.2,8.3,16.5,34.5,46.7,31,331579,188319
1001,Alexandria University,Egypt,10.7–22.1,18.9,13.1,24.1,39.6,44.5,14,330154,196366
1001,Alexandru Ioan Cuza University,Romania,10.7–22.1,16.7,11.1,9.7,34.5,31.9,1,564499,564499
1001,Al-Farabi Kazakh National University,Kazakhstan,10.7–22.1,24.3,9.6,20.7,42.8,61.2,27,1163875,872058
1001,Andhra University,India,10.7–22.1,37.4,10.8,8.0,42.5,15.5,1,33459,33459
1001,Ankara University,Turkey,10.7–22.1,19.2,10.0,13.9,35.1,22.5,12,89315,92629
1001,Annamalai University,India,10.7–22.1,29.2,8.6,18.7,35.3,16.8,1,151969,151969
1001,University of Antioquia,Colombia,10.7–22.1,16.7,17.0,17.2,40.6,37.7,4,47454,25012
1001,Aoyama Gakuin University,Japan,10.7–22.1,16.3,7.9,20.9,34.8,29.0,1,86154,86154
1001,Belarusian State University,Belarus,10.7–22.1,21.3,9.7,13.3,42.4,58.1,35,1043987,823718
1001,Bogor Agricultural University,Indonesia,10.7–22.1,19.0,10.6,8.9,70.7,42.3,2,149913,149913
1001,Brno University of Technology,Czech Republic,10.7–22.1,18.6,15.6,21.7,41.2,52.2,1,45618,45618
1001,University of Bucharest,Romania,10.7–22.1,18.2,10.6,15.1,36.2,27.4,24,90185,88697
1001,Budapest University of Technology and Economics,Hungary,10.7–22.1,17.4,15.8,25.3,44.0,34.7,4,86414,104316
1001,Catholic University of the North,Chile,10.7–22.1,14.8,14.2,18.9,35.6,52.9,1,178726,178726
1001,Chiang Mai University,Thailand,10.7–22.1,20.8,14.2,18.0,48.6,32.8,4,386149,369958
1001,Chungnam National University,South Korea,10.7–22.1,22.7,21.1,12.1,46.6,23.0,1,284024,284024
1001,Chung Yuan Christian University,Taiwan,10.7–22.1,16.8,24.6,14.8,47.2,35.2,1,560300,560300
1001,Chuo University,Japan,10.7–22.1,27.2,10.3,23.0,36.8,23.0,2,49648,49648
1001,University of Colombo,Sri Lanka,10.7–22.1,13.5,8.0,13.9,34.8,38.2,8,572379,578290
1001,Comenius University in Bratislava,Slovakia,10.7–22.1,22.2,13.1,22.3,34.6,52.0,33,668170,278857
1001,University of Concepción,Chile,10.7–22.1,15.4,11.6,19.7,56.6,48.7,2,120885,120885
1001,Corvinus University of Budapest,Hungary,10.7–22.1,17.8,13.7,23.6,34.4,44.7,5,50429,48988
1001,University of Dar es Salaam,Tanzania,10.7–22.1,14.0,7.3,20.4,34.4,46.3,52,757014,655274
1001,De La Salle University,Philippines,10.7–22.1,17.1,12.9,26.4,34.4,30.7,13,382107,320062
1001,Democritus University of Thrace,Greece,10.7–22.1,14.9,11.6,32.0,35.8,31.4,1,1359110,1359110
1001,University of Dhaka,Bangladesh,10.7–22.1,16.0,8.8,16.4,36.6,40.8,78,601364,531809
1001,"University of Economics, Prague",Czech Republic,10.7–22.1,18.9,13.3,5.5,35.1,43.5,10,216040,103982
1001,Ege University,Turkey,10.7–22.1,17.2,10.2,13.5,37.9,22.1,1,1806502,1806502
1001,Gazi University,Turkey,10.7–22.1,18.8,10.6,13.2,40.5,16.6,3,89628,89247
1001,University of Gdańsk,Poland,10.7–22.1,15.7,10.6,19.7,34.7,29.9,3,42505,54706
1001,University of Havana,Cuba,10.7–22.1,21.6,9.0,9.5,40.2,52.5,17,454872,123448
1001,Helwan University,Egypt,10.7–22.1,14.7,8.6,20.0,35.1,40.2,5,764172,1092340
1001,Hosei University,Japan,10.7–22.1,16.8,9.7,25.9,35.2,25.8,1,91230,91230
1001,Kanagawa University,Japan,10.7–22.1,14.6,7.5,12.3,34.8,27.7,1,9163,9163
1001,Kansai University,Japan,10.7–22.1,24.3,8.0,6.9,35.4,24.6,1,36346,36346
1001,Kasetsart University,Thailand,10.7–22.1,18.6,12.8,10.3,59.8,37.1,1,85070,85070
1001,Kaunas University of Technology,Lithuania,10.7–22.1,16.5,11.4,5.6,38.9,30.4,6,311899,308240
1001,Kwansei Gakuin University,Japan,10.7–22.1,15.4,9.0,13.4,35.3,32.3,1,28965,28965
1001,Latvia University of Life Sciences and Technologies,Latvia,10.7–22.1,17.4,17.6,5.2,36.9,16.6,6,418397,352823
1001,University of León,Spain,10.7–22.1,17.9,11.2,25.4,36.7,43.4,1,3773,3773
1001,University of Łódź,Poland,10.7–22.1,17.1,10.3,13.4,34.7,24.4,4,35570,43409
1001,Lodz University of Technology,Poland,10.7–22.1,16.3,11.1,18.0,37.8,23.0,1,59217,59217
1001,Maharaja Sayajirao University of Baroda,India,10.7–22.1,14.1,9.3,17.2,34.9,14.4,4,251283,156472
1001,Marmara University,Turkey,10.7–22.1,21.3,8.9,19.4,34.6,22.9,5,68486,76507
1001,Meiji University,Japan,10.7–22.1,17.7,8.6,11.3,35.6,25.9,11,117153,52249
1001,University of Montenegro,Montenegro,10.7–22.1,12.6,9.7,15.2,34.8,43.8,9,984268,1072851
